,Symbol,Name,Sector,Date,Price
160,ETFC,E*Trade,Financials,2023-09-15 00:00:00,
161,EMN,Eastman Chemical,Materials,2023-09-15 00:00:00,79.0
162,ETN,Eaton Corporation,Industrials,2023-09-15 00:00:00,217.63999938964844
163,EBAY,eBay Inc.,Information Technology,2023-09-15 00:00:00,44.560001373291016
164,ECL,Ecolab Inc.,Materials,2023-09-15 00:00:00,177.9600067138672
165,EIX,Edison Int'l,Utilities,2023-09-15 00:00:00,71.55999755859375
166,EW,Edwards Lifesciences,Health Care,2023-09-15 00:00:00,73.19999694824219
167,EA,Electronic Arts,Information Technology,2023-09-15 00:00:00,120.45999908447266
168,EMR,Emerson Electric Company,Industrials,2023-09-15 00:00:00,98.86000061035156
169,ETR,Entergy Corp.,Utilities,2023-09-15 00:00:00,98.4000015258789
170,EVHC,Envision Healthcare,Health Care,2023-09-15 00:00:00,
171,EOG,EOG Resources,Energy,2023-09-15 00:00:00,132.17999267578125
172,EQT,EQT Corporation,Energy,2023-09-15 00:00:00,41.52999877929688
173,EFX,Equifax Inc.,Industrials,2023-09-15 00:00:00,196.8600006103516
174,EQIX,Equinix,Real Estate,2023-09-15 00:00:00,776.219970703125
175,EQR,Equity Residential,Real Estate,2023-09-15 00:00:00,63.15999984741211
176,ESS,"Essex Property Trust, Inc.",Real Estate,2023-09-15 00:00:00,225.22000122070312
177,EL,Estee Lauder Cos.,Consumer Staples,2023-09-15 00:00:00,155.6999969482422
178,RE,Everest Re Group Ltd.,Financials,2023-09-15 00:00:00,
179,ES,Eversource Energy,Utilities,2023-09-15 00:00:00,64.20999908447266
180,EXC,Exelon Corp.,Utilities,2023-09-15 00:00:00,41.650001525878906
181,EXPE,Expedia Inc.,Consumer Discretionary,2023-09-15 00:00:00,106.91000366210938
182,EXPD,Expeditors International,Industrials,2023-09-15 00:00:00,118.44000244140624
183,ESRX,Express Scripts,Health Care,2023-09-15 00:00:00,
184,EXR,Extra Space Storage,Real Estate,2023-09-15 00:00:00,128.05999755859375
185,XOM,Exxon Mobil Corp.,Energy,2023-09-15 00:00:00,116.6999969482422
186,FFIV,F5 Networks,Information Technology,2023-09-15 00:00:00,158.47000122070312
187,FB,"Facebook, Inc.",Information Technology,2023-09-15 00:00:00,
188,FAST,Fastenal Co,Industrials,2023-09-15 00:00:00,55.220001220703125
189,FRT,Federal Realty Investment Trust,Real Estate,2023-09-15 00:00:00,98.81999969482422
190,FDX,FedEx Corporation,Industrials,2023-09-15 00:00:00,254.0800018310547
191,FIS,Fidelity National Information Services,Information Technology,2023-09-15 00:00:00,56.900001525878906
192,FITB,Fifth Third Bancorp,Financials,2023-09-15 00:00:00,27.440000534057617
193,FE,FirstEnergy Corp,Utilities,2023-09-15 00:00:00,36.90999984741211
194,FISV,Fiserv Inc,Information Technology,2023-09-15 00:00:00,
195,FLIR,FLIR Systems,Information Technology,2023-09-15 00:00:00,
196,FLS,Flowserve Corporation,Industrials,2023-09-15 00:00:00,39.15999984741211
197,FLR,Fluor Corp.,Industrials,2023-09-15 00:00:00,35.560001373291016
198,FMC,FMC Corporation,Materials,2023-09-15 00:00:00,75.6500015258789
199,FL,Foot Locker Inc,Consumer Discretionary,2023-09-15 00:00:00,18.309999465942383
200,F,Ford Motor,Consumer Discretionary,2023-09-15 00:00:00,12.609999656677246
201,FTV,Fortive Corp,Industrials,2023-09-15 00:00:00,75.98999786376953
202,FBHS,Fortune Brands Home & Security,Industrials,2023-09-15 00:00:00,
203,BEN,Franklin Resources,Financials,2023-09-15 00:00:00,26.25
204,FCX,Freeport-McMoRan Inc.,Materials,2023-09-15 00:00:00,40.369998931884766
205,GPS,Gap Inc.,Consumer Discretionary,2023-09-15 00:00:00,11.199999809265137
206,GRMN,Garmin Ltd.,Consumer Discretionary,2023-09-15 00:00:00,106.12000274658205
207,IT,Gartner Inc,Information Technology,2023-09-15 00:00:00,350.1400146484375
208,GD,General Dynamics,Industrials,2023-09-15 00:00:00,224.0500030517578
209,GE,General Electric,Industrials,2023-09-15 00:00:00,115.48999786376952
210,GGP,General Growth Properties Inc.,Real Estate,2023-09-15 00:00:00,
211,GIS,General Mills,Consumer Staples,2023-09-15 00:00:00,65.8499984741211
212,GM,General Motors,Consumer Discretionary,2023-09-15 00:00:00,33.95000076293945
213,GPC,Genuine Parts,Consumer Discretionary,2023-09-15 00:00:00,148.8300018310547
214,GILD,Gilead Sciences,Health Care,2023-09-15 00:00:00,75.66999816894531
215,GPN,Global Payments Inc.,Information Technology,2023-09-15 00:00:00,124.33999633789062
216,GS,Goldman Sachs Group,Financials,2023-09-15 00:00:00,342.5400085449219
217,GT,Goodyear Tire & Rubber,Consumer Discretionary,2023-09-15 00:00:00,12.800000190734863
218,GWW,Grainger (W.W.) Inc.,Industrials,2023-09-15 00:00:00,693.1199951171875
219,HAL,Halliburton Co.,Energy,2023-09-15 00:00:00,42.11000061035156
220,HBI,Hanesbrands Inc,Consumer Discretionary,2023-09-15 00:00:00,4.630000114440918
221,HOG,Harley-Davidson,Consumer Discretionary,2023-09-15 00:00:00,33.36000061035156
222,HRS,Harris Corporation,Information Technology,2023-09-15 00:00:00,
223,HIG,Hartford Financial Svc.Gp.,Financials,2023-09-15 00:00:00,72.98999786376953
224,HAS,Hasbro Inc.,Consumer Discretionary,2023-09-15 00:00:00,66.37000274658203
225,HCA,HCA Holdings,Health Care,2023-09-15 00:00:00,256.2799987792969
226,HCP,HCP Inc.,Real Estate,2023-09-15 00:00:00,25.09000015258789
227,HP,Helmerich & Payne,Energy,2023-09-15 00:00:00,45.459999084472656
228,HSIC,Henry Schein,Health Care,2023-09-15 00:00:00,74.41000366210938
229,HES,Hess Corporation,Energy,2023-09-15 00:00:00,160.35000610351562
230,HPE,Hewlett Packard Enterprise,Information Technology,2023-09-15 00:00:00,17.06999969482422
231,HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,2023-09-15 00:00:00,154.41000366210938
232,HOLX,Hologic,Health Care,2023-09-15 00:00:00,71.80999755859375
233,HD,Home Depot,Consumer Discretionary,2023-09-15 00:00:00,321.3999938964844
234,HON,Honeywell Int'l Inc.,Industrials,2023-09-15 00:00:00,193.0399932861328
235,HRL,Hormel Foods Corp.,Consumer Staples,2023-09-15 00:00:00,38.2400016784668
236,HST,Host Hotels & Resorts,Real Estate,2023-09-15 00:00:00,16.600000381469727
237,HPQ,HP Inc.,Information Technology,2023-09-15 00:00:00,27.34000015258789
238,HUM,Humana Inc.,Health Care,2023-09-15 00:00:00,470.7699890136719
239,HBAN,Huntington Bancshares,Financials,2023-09-15 00:00:00,10.699999809265137
240,HII,Huntington Ingalls Industries,Industrials,2023-09-15 00:00:00,211.6499938964844
241,IDXX,IDEXX Laboratories,Health Care,2023-09-15 00:00:00,450.6900024414063
242,INFO,IHS Markit Ltd.,Industrials,2023-09-15 00:00:00,
243,ITW,Illinois Tool Works,Industrials,2023-09-15 00:00:00,238.30999755859372
244,ILMN,Illumina Inc,Health Care,2023-09-15 00:00:00,146.14999389648438
245,INCY,Incyte,Health Care,2023-09-15 00:00:00,62.54999923706055
246,IR,Ingersoll-Rand PLC,Industrials,2023-09-15 00:00:00,65.9000015258789
247,INTC,Intel Corp.,Information Technology,2023-09-15 00:00:00,37.880001068115234
248,ICE,Intercontinental Exchange,Financials,2023-09-15 00:00:00,115.72000122070312
249,IBM,International Business Machines,Information Technology,2023-09-15 00:00:00,145.99000549316406
250,IP,International Paper,Materials,2023-09-15 00:00:00,34.2400016784668
251,IPG,Interpublic Group,Consumer Discretionary,2023-09-15 00:00:00,30.739999771118164
252,IFF,Intl Flavors & Fragrances,Materials,2023-09-15 00:00:00,69.05000305175781
253,INTU,Intuit Inc.,Information Technology,2023-09-15 00:00:00,538.0800170898438
254,ISRG,Intuitive Surgical Inc.,Health Care,2023-09-15 00:00:00,295.5400085449219
255,IVZ,Invesco Ltd.,Financials,2023-09-15 00:00:00,15.56999969482422
256,IQV,IQVIA Holdings Inc.,Health Care,2023-09-15 00:00:00,211.7100067138672
257,IRM,Iron Mountain Incorporated,Real Estate,2023-09-15 00:00:00,62.84999847412109
258,JBHT,J. B. Hunt Transport Services,Industrials,2023-09-15 00:00:00,194.3600006103516
259,JEC,Jacobs Engineering Group,Industrials,2023-09-15 00:00:00,
260,SJM,JM Smucker,Consumer Staples,2023-09-15 00:00:00,126.83000183105467
261,JNJ,Johnson & Johnson,Health Care,2023-09-15 00:00:00,161.4499969482422
262,JCI,Johnson Controls International,Industrials,2023-09-15 00:00:00,57.130001068115234
263,JPM,JPMorgan Chase & Co.,Financials,2023-09-15 00:00:00,148.80999755859375
264,JNPR,Juniper Networks,Information Technology,2023-09-15 00:00:00,28.43000030517578
265,KSU,Kansas City Southern,Industrials,2023-09-15 00:00:00,
266,K,Kellogg Co.,Consumer Staples,2023-09-15 00:00:00,59.959999084472656
267,KEY,KeyCorp,Financials,2023-09-15 00:00:00,11.720000267028809
268,KMB,Kimberly-Clark,Consumer Staples,2023-09-15 00:00:00,125.01000213623048
269,KIM,Kimco Realty,Real Estate,2023-09-15 00:00:00,18.8799991607666
270,KMI,Kinder Morgan,Energy,2023-09-15 00:00:00,17.06999969482422
271,KLAC,KLA-Tencor Corp.,Information Technology,2023-09-15 00:00:00,454.2200012207031
272,KSS,Kohl's Corp.,Consumer Discretionary,2023-09-15 00:00:00,22.799999237060547
273,KHC,Kraft Heinz Co,Consumer Staples,2023-09-15 00:00:00,33.45000076293945
274,KR,Kroger Co.,Consumer Staples,2023-09-15 00:00:00,46.31999969482422
275,LB,L Brands Inc.,Consumer Discretionary,2023-09-15 00:00:00,
276,LLL,L-3 Communications Holdings,Industrials,2023-09-15 00:00:00,
